,RieNs TH,benjyfishy TH,Wo0t TH,MiniBoo TH,Boo TH
UNFAKE VIT,,,0 1 -1,,
KovaQ VIT,0 2 -2,0 1 -1,1 1 +0,2 0 +2,
Derke VIT,0 2 -2,,1 0 +1,2 1 +1,1 2 -1
Less VIT,,0 1 -1,,,
Kicks VIT,,,2 0 +2,0 2 -2,
