,RieNs TH,benjyfishy TH,Wo0t TH,MiniBoo TH,Boo TH
UNFAKE VIT,5 5 +0,5 2 +3,4 2 +2,3 5 -2,1 4 -3
KovaQ VIT,1 5 -4,5 4 +1,3 4 -1,4 5 -1,2 2 +0
Derke VIT,3 3 +0,3 1 +2,2 3 -1,5 10 -5,6 1 +5
Less VIT,3 5 -2,3 1 +2,7 3 +4,2 3 -1,3 4 -1
Kicks VIT,3 6 -3,2 1 +1,2 3 -1,3 3 +0,2 5 -3
