,RieNs TH,benjyfishy TH,Wo0t TH,MiniBoo TH,Boo TH
UNFAKE VIT,1 0 +1,1 1 +0,1 0 +1,1 1 +0,1 0 +1
KovaQ VIT,0 1 -1,0 1 -1,,,
Derke VIT,,,,1 5 -4,2 1 +1
Less VIT,,,2 0 +2,,1 1 +0
Kicks VIT,,,,,0 2 -2
