,RieNs TH,benjyfishy TH,Wo0t TH,MiniBoo TH,Boo TH
UNFAKE VIT,,,,0 1 -1,
KovaQ VIT,,,,0 1 -1,
Derke VIT,1 0 +1,1 0 +1,,1 0 +1,1 0 +1
Less VIT,,,,,
Kicks VIT,,,,,
