,RieNs TH,benjyfishy TH,Wo0t TH,MiniBoo TH,Boo TH
UNFAKE VIT,1 0 +1,1 1 +0,1 1 +0,1 1 +0,1 0 +1
KovaQ VIT,0 3 -3,0 2 -2,1 1 +0,2 0 +2,
Derke VIT,0 2 -2,,1 0 +1,3 6 -3,3 3 +0
Less VIT,,0 1 -1,2 0 +2,,1 1 +0
Kicks VIT,,,2 0 +2,0 2 -2,0 2 -2
