,xenom MIBR,artzin MIBR,nzr MIBR,aspas MIBR,cortezia MIBR
Demon1 LEV,1 0 +1,,,0 2 -2,0 1 -1
C0M LEV,0 1 -1,2 0 +2,,1 1 +0,
nataNk LEV,,0 1 -1,,0 1 -1,1 1 +0
tex LEV,1 0 +1,0 1 -1,,0 1 -1,
kiNgg LEV,1 0 +1,,,0 2 -2,
