,xenom MIBR,artzin MIBR,nzr MIBR,aspas MIBR,cortezia MIBR
Demon1 LEV,,0 2 -2,,1 0 +1,0 3 -3
C0M LEV,,0 1 -1,,0 2 -2,
nataNk LEV,1 0 +1,2 3 -1,,1 1 +0,
tex LEV,,1 0 +1,,,1 1 +0
kiNgg LEV,,3 2 +1,,0 1 -1,
