,xenom MIBR,artzin MIBR,nzr MIBR,aspas MIBR,cortezia MIBR
Demon1 LEV,,,,0 2 -2,
C0M LEV,,,,0 1 -1,
nataNk LEV,,,,0 2 -2,
tex LEV,,1 0 +1,,,
kiNgg LEV,,,,,
