,xenom MIBR,artzin MIBR,nzr MIBR,aspas MIBR,cortezia MIBR
Demon1 LEV,2 0 +2,1 1 +0,,0 3 -3,1 1 +0
C0M LEV,,1 1 +0,,1 0 +1,0 1 -1
nataNk LEV,,1 0 +1,0 1 -1,1 0 +1,0 1 -1
tex LEV,1 1 +0,,,0 1 -1,
kiNgg LEV,1 1 +0,,,,
