,xenom MIBR,artzin MIBR,nzr MIBR,aspas MIBR,cortezia MIBR
Demon1 LEV,3 0 +3,1 3 -2,,1 5 -4,1 5 -4
C0M LEV,0 1 -1,3 2 +1,,2 3 -1,0 1 -1
nataNk LEV,1 0 +1,3 4 -1,0 1 -1,2 2 +0,1 2 -1
tex LEV,2 1 +1,1 1 +0,,0 2 -2,1 1 +0
kiNgg LEV,2 1 +1,3 2 +1,,0 3 -3,
