,xenom MIBR,artzin MIBR,nzr MIBR,aspas MIBR,cortezia MIBR
Demon1 LEV,2 1 +1,3 0 +3,6 3 +3,4 5 -1,3 3 +0
C0M LEV,3 3 +0,6 1 +5,2 2 +0,3 3 +0,0 2 -2
nataNk LEV,2 0 +2,3 3 +0,0 1 -1,2 2 +0,6 2 +4
tex LEV,3 2 +1,2 2 +0,4 0 +4,2 2 +0,5 3 +2
kiNgg LEV,5 1 +4,2 0 +2,4 2 +2,4 4 +0,2 5 -3
