,xenom MIBR,artzin MIBR,nzr MIBR,aspas MIBR,cortezia MIBR
Demon1 LEV,5 4 +1,6 4 +2,4 3 +1,4 4 +0,4 1 +3
C0M LEV,3 3 +0,1 3 -2,4 3 +1,1 3 -2,3 5 -2
nataNk LEV,0 5 -5,5 4 +1,3 2 +1,3 6 -3,1 2 -1
tex LEV,4 2 +2,1 6 -5,1 3 -2,3 2 +1,6 1 +5
kiNgg LEV,3 3 +0,3 2 +1,1 3 -2,2 1 +1,2 7 -5
