,xenom MIBR,artzin MIBR,nzr MIBR,aspas MIBR,cortezia MIBR
Demon1 LEV,2 8 -6,2 5 -3,5 2 +3,4 4 +0,7 3 +4
C0M LEV,2 2 +0,5 6 -1,1 1 +0,4 6 -2,1 4 -3
nataNk LEV,2 4 -2,5 4 +1,4 1 +3,6 4 +2,3 6 -3
tex LEV,4 3 +1,1 6 -5,6 3 +3,2 1 +1,4 3 +1
kiNgg LEV,2 3 -1,8 5 +3,3 2 +1,1 4 -3,2 6 -4
