,xenom MIBR,artzin MIBR,nzr MIBR,aspas MIBR,cortezia MIBR
Demon1 LEV,,,,0 1 -1,
C0M LEV,,,,0 2 -2,
nataNk LEV,,,,,
tex LEV,,,,,
kiNgg LEV,,,,0 1 -1,
