,kamyk M8,Click M8,Kada M8,Minny M8,Zyppan M8
paTiTek TL,,1 0 +1,0 1 -1,,1 0 +1
kamo TL,,2 1 +1,1 0 +1,0 1 -1,0 2 -2
keiko TL,,1 1 +0,,0 1 -1,
nAts TL,,2 2 +0,0 1 -1,2 1 +1,1 0 +1
Serial TL,1 0 +1,1 1 +0,,0 1 -1,
