,kamyk M8,Click M8,Kada M8,Minny M8,Zyppan M8
paTiTek TL,2 4 -2,4 3 +1,0 4 -4,1 1 +0,0 5 -5
kamo TL,2 1 +1,4 3 +1,0 3 -3,2 3 -1,3 5 -2
keiko TL,3 8 -5,2 1 +1,1 0 +1,3 4 -1,2 4 -2
nAts TL,3 1 +2,3 3 +0,3 4 -1,3 5 -2,0 1 -1
Serial TL,1 2 -1,1 7 -6,5 2 +3,1 2 -1,5 3 +2
