,kamyk M8,Click M8,Kada M8,Minny M8,Zyppan M8
paTiTek TL,2 2 +0,6 0 +6,1 3 -2,1 4 -3,4 1 +3
kamo TL,3 3 +0,2 1 +1,3 1 +2,2 2 +0,2 4 -2
keiko TL,5 1 +4,3 3 +0,3 3 +0,3 4 -1,7 1 +6
nAts TL,4 1 +3,3 0 +3,3 3 +0,4 3 +1,2 3 -1
Serial TL,1 2 -1,2 2 +0,3 0 +3,1 3 -2,1 3 -2
