,LewN BBL,MAGNUM BBL,Jamppi BBL,PROFEK BBL,sociablEE BBL
MiniBoo TH,2 6 -4,3 2 +1,1 2 -1,1 2 -1,5 2 +3
benjyfishy TH,1 4 -3,0 4 -4,1 3 -2,3 3 +0,2 2 +0
RieNs TH,2 4 -2,4 1 +3,2 6 -4,2 4 -2,3 0 +3
Boo TH,3 1 +2,4 4 +0,3 5 -2,3 3 +0,3 2 +1
Wo0t TH,5 2 +3,1 1 +0,2 4 -2,0 4 -4,1 4 -3
