,LewN BBL,MAGNUM BBL,Jamppi BBL,PROFEK BBL,sociablEE BBL
MiniBoo TH,0 2 -2,1 0 +1,1 1 +0,,3 0 +3
benjyfishy TH,2 0 +2,0 1 -1,1 0 +1,,
RieNs TH,1 1 +0,1 0 +1,,1 0 +1,0 1 -1
Boo TH,1 0 +1,,0 2 -2,0 1 -1,0 1 -1
Wo0t TH,,1 0 +1,1 0 +1,,
