,LewN BBL,MAGNUM BBL,Jamppi BBL,PROFEK BBL,sociablEE BBL
MiniBoo TH,1 2 -1,1 0 +1,,,1 0 +1
benjyfishy TH,0 2 -2,,,,
RieNs TH,0 1 -1,,,,
Boo TH,0 1 -1,,,,
Wo0t TH,,,,,0 1 -1
