,LewN BBL,MAGNUM BBL,Jamppi BBL,PROFEK BBL,sociablEE BBL
MiniBoo TH,11 16 -5,11 5 +6,10 14 -4,7 5 +2,17 7 +10
benjyfishy TH,10 10 +0,7 10 -3,6 9 -3,10 8 +2,10 5 +5
RieNs TH,11 9 +2,10 6 +4,8 7 +1,10 15 -5,10 8 +2
Boo TH,7 5 +2,6 10 -4,6 13 -7,7 10 -3,7 6 +1
Wo0t TH,13 5 +8,14 4 +10,14 8 +6,8 15 -7,7 11 -4
