,LewN BBL,MAGNUM BBL,Jamppi BBL,PROFEK BBL,sociablEE BBL
MiniBoo TH,3 5 -2,3 1 +2,3 9 -6,2 3 -1,6 0 +6
benjyfishy TH,5 4 +1,3 2 +1,2 5 -3,4 3 +1,3 1 +2
RieNs TH,7 4 +3,2 2 +0,5 1 +4,2 7 -5,3 4 -1
Boo TH,2 2 +0,2 2 +0,2 5 -3,2 5 -3,2 2 +0
Wo0t TH,4 0 +4,9 2 +7,6 4 +2,5 5 +0,4 3 +1
