,LewN BBL,MAGNUM BBL,Jamppi BBL,PROFEK BBL,sociablEE BBL
MiniBoo TH,6 5 +1,5 2 +3,6 3 +3,4 0 +4,6 5 +1
benjyfishy TH,4 2 +2,4 4 +0,3 1 +2,3 2 +1,5 2 +3
RieNs TH,2 1 +1,4 3 +1,1 0 +1,6 4 +2,4 4 +0
Boo TH,2 2 +0,0 4 -4,1 3 -2,2 2 +0,2 2 +0
Wo0t TH,4 3 +1,4 1 +3,6 0 +6,3 6 -3,2 4 -2
