,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Boo TH,,1 Round 7 LewN Jamppi,,,,1 Round 4 Jamppi,,,,,28,3,0
RieNs TH,,2 Round 1 PROFEK sociablEE Round 2 MAGNUM LewN,,1 Round 11 sociablEE LewN PROFEK MAGNUM,,,,,,,70,5,1
MiniBoo TH,,3 Round 10 MAGNUM sociablEE Round 12 LewN Jamppi Round 17 PROFEK Jamppi,5 Round 4 PROFEK MAGNUM LewN Round 9 sociablEE LewN MAGNUM Round 15 LewN sociablEE Jamppi Round 18 MAGNUM LewN PROFEK Round 22 sociablEE PROFEK Jamppi,,,,,,,,79,0,0
Wo0t TH,,5 Round 1 LewN Jamppi Round 2 Jamppi PROFEK Round 16 LewN Jamppi Round 18 sociablEE Jamppi Round 21 PROFEK sociablEE,1 Round 10 Jamppi LewN PROFEK,,,,,,,,69,0,0
benjyfishy TH,,5 Round 3 Jamppi sociablEE Round 12 PROFEK MAGNUM Round 14 sociablEE LewN Round 20 sociablEE MAGNUM Round 21 LewN Jamppi,2 Round 5 sociablEE Jamppi PROFEK Round 19 LewN MAGNUM PROFEK,,,,,,,,66,1,0
MAGNUM BBL,,1 Round 6 MiniBoo RieNs,1 Round 9 Wo0t benjyfishy RieNs,,,1 Round 3 benjyfishy,,,,,52,0,0
PROFEK BBL,,5 Round 7 RieNs Boo Round 13 Wo0t benjyfishy Round 14 RieNs benjyfishy Round 16 RieNs Boo Round 19 RieNs Wo0t,,,,1 Round 14 benjyfishy,2 Round 7 RieNs Boo Round 16 RieNs Boo,,,,51,1,0
sociablEE BBL,,4 Round 2 MiniBoo RieNs sociablEE Round 4 Wo0t RieNs Round 16 Wo0t MiniBoo Round 19 benjyfishy Boo,2 Round 3 Wo0t Boo RieNs Round 17 benjyfishy RieNs MiniBoo,,,,,,,,43,0,0
Jamppi BBL,,1 Round 6 Boo benjyfishy,,,,,,,,,28,5,0
LewN BBL,,4 Round 7 Wo0t benjyfishy Round 13 MiniBoo RieNs Round 14 MiniBoo Boo Round 17 Boo Wo0t,,,,,,,,,46,1,0
