,LewN BBL,MAGNUM BBL,Jamppi BBL,PROFEK BBL,sociablEE BBL
MiniBoo TH,1 2 -1,1 1 +0,1 1 +0,,2 1 +1
benjyfishy TH,,0 1 -1,,1 0 +1,
RieNs TH,,1 0 +1,,,
Boo TH,0 1 -1,,0 1 -1,,1 0 +1
Wo0t TH,2 1 +1,1 0 +1,2 0 +2,,
