,LewN BBL,MAGNUM BBL,Jamppi BBL,PROFEK BBL,sociablEE BBL
MiniBoo TH,2 6 -4,2 1 +1,2 2 +0,,5 2 +3
benjyfishy TH,2 2 +0,0 2 -2,2 0 +2,1 1 +0,
RieNs TH,2 2 +0,2 0 +2,,1 0 +1,0 1 -1
Boo TH,2 1 +1,1 1 +0,1 3 -2,0 1 -1,1 1 +0
Wo0t TH,3 1 +2,2 0 +2,4 0 +4,0 1 -1,0 1 -1
