,crashies FNC,kaajak FNC,Alfajer FNC,Chronicle FNC,Boaster FNC
cortezia MIBR,1 3 -2,,0 2 -2,1 1 +0,1 0 +1
xenom MIBR,,1 0 +1,2 2 +0,,2 1 +1
aspas MIBR,2 1 +1,1 4 -3,3 1 +2,2 0 +2,5 0 +5
Verno MIBR,,1 4 -3,,,2 0 +2
artzin MIBR,1 1 +0,1 3 -2,2 2 +0,0 4 -4,1 2 -1
