,crashies FNC,kaajak FNC,Alfajer FNC,Chronicle FNC,Boaster FNC
cortezia MIBR,0 1 -1,,0 1 -1,,
xenom MIBR,,1 0 +1,2 1 +1,,2 1 +1
aspas MIBR,,0 3 -3,0 1 -1,1 0 +1,3 0 +3
Verno MIBR,,1 2 -1,,,
artzin MIBR,1 1 +0,0 1 -1,,,
