,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
cortezia MIBR,,4 Round 1 kaajak Chronicle Round 2 Chronicle Boaster Round 8 kaajak Alfajer Round 20 crashies Chronicle,,,,,,,,,33,0,0
artzin MIBR,,1 Round 18 kaajak Boaster,1 Round 7 Boaster crashies kaajak,,,,,,,,33,4,0
aspas MIBR,,4 Round 4 Boaster Alfajer Round 8 Chronicle Boaster Round 9 Chronicle Alfajer Round 10 Boaster Alfajer,2 Round 1 Alfajer Boaster crashies Round 15 Chronicle Alfajer crashies,,,,,,,,78,0,0
xenom MIBR,,1 Round 3 Chronicle Boaster xenom,,,,,,,,,20,1,0
Verno MIBR,,3 Round 2 Alfajer kaajak Round 4 Chronicle crashies Round 12 Alfajer Chronicle,2 Round 5 kaajak Boaster crashies Round 11 Boaster kaajak Chronicle,,,,,,,,47,3,0
crashies FNC,,1 Round 17 artzin xenom,1 Round 18 cortezia artzin xenom,,,,,,,,78,2,0
Boaster FNC,,2 Round 15 artzin aspas Round 17 aspas cortezia,1 Round 9 xenom aspas Verno,,,,1 Round 15 aspas artzin,,,,53,0,0
Chronicle FNC,,3 Round 5 Verno xenom Round 6 aspas xenom Round 19 cortezia Verno,,,,,,,,,41,5,0
kaajak FNC,,1 Round 16 Verno aspas,2 Round 12 aspas artzin Verno Round 13 artzin aspas xenom,,,,,,,,50,0,0
Alfajer FNC,,4 Round 6 artzin Verno Round 8 aspas Verno Round 10 cortezia xenom Round 16 cortezia artzin,,1 Round 20 xenom artzin cortezia aspas,,,,,,,67,1,1
