,crashies FNC,kaajak FNC,Alfajer FNC,Chronicle FNC,Boaster FNC
cortezia MIBR,4 2 +2,2 2 +0,3 3 +0,3 1 +2,4 1 +3
xenom MIBR,6 4 +2,1 1 +0,3 3 +0,1 3 -2,0 2 -2
aspas MIBR,2 6 -4,5 2 +3,1 1 +0,5 1 +4,6 0 +6
Verno MIBR,2 2 +0,1 5 -4,4 2 +2,2 2 +0,4 0 +4
artzin MIBR,2 0 +2,4 2 +2,3 3 +0,4 4 +0,2 1 +1
