,crashies FNC,kaajak FNC,Alfajer FNC,Chronicle FNC,Boaster FNC
cortezia MIBR,2 4 -2,2 3 -1,3 5 -2,3 3 +0,1 1 +0
xenom MIBR,2 4 -2,2 1 +1,0 3 -3,1 2 -1,1 2 -1
aspas MIBR,3 1 +2,2 4 -2,8 3 +5,4 1 +3,4 4 +0
Verno MIBR,4 0 +4,5 4 +1,2 4 -2,3 2 +1,2 2 +0
artzin MIBR,1 4 -3,3 3 +0,0 5 -5,1 1 +0,2 3 -1
