,crashies FNC,kaajak FNC,Alfajer FNC,Chronicle FNC,Boaster FNC
cortezia MIBR,8 10 -2,6 8 -2,10 10 +0,8 7 +1,5 4 +1
xenom MIBR,12 11 +1,8 5 +3,7 9 -2,4 9 -5,4 6 -2
aspas MIBR,8 11 -3,7 12 -5,10 8 +2,14 5 +9,15 5 +10
Verno MIBR,8 4 +4,9 14 -5,8 10 -2,6 7 -1,6 4 +2
artzin MIBR,5 7 -2,11 8 +3,7 10 -3,8 7 +1,8 7 +1
