,crashies FNC,kaajak FNC,Alfajer FNC,Chronicle FNC,Boaster FNC
cortezia MIBR,,0 2 -2,,,0 1 -1
xenom MIBR,,,,0 1 -1,
aspas MIBR,1 0 +1,0 1 -1,1 0 +1,,0 2 -2
Verno MIBR,,0 3 -3,1 0 +1,,0 1 -1
artzin MIBR,,0 1 -1,,1 0 +1,0 1 -1
