,crashies FNC,kaajak FNC,Alfajer FNC,Chronicle FNC,Boaster FNC
cortezia MIBR,0 2 -2,,0 1 -1,1 1 +0,
xenom MIBR,,,,,
aspas MIBR,1 1 +0,1 1 +0,3 0 +3,,
Verno MIBR,,0 1 -1,,,1 0 +1
artzin MIBR,,1 1 +0,0 1 -1,0 1 -1,0 1 -1
