,crashies FNC,kaajak FNC,Alfajer FNC,Chronicle FNC,Boaster FNC
cortezia MIBR,1 0 +1,,,,1 0 +1
xenom MIBR,,,0 1 -1,,
aspas MIBR,1 0 +1,,,1 0 +1,2 0 +2
Verno MIBR,,0 1 -1,,,1 0 +1
artzin MIBR,,0 1 -1,2 1 +1,0 3 -3,1 1 +0
