,crashies FNC,kaajak FNC,Alfajer FNC,Chronicle FNC,Boaster FNC
cortezia MIBR,2 4 -2,2 3 -1,4 2 +2,2 3 -1,0 2 -2
xenom MIBR,4 3 +1,5 3 +2,4 3 +1,2 4 -2,3 2 +1
aspas MIBR,3 4 -1,0 6 -6,1 4 -3,5 3 +2,5 1 +4
Verno MIBR,2 2 +0,3 5 -2,2 4 -2,1 3 -2,0 2 -2
artzin MIBR,2 3 -1,4 3 +1,4 2 +2,3 2 +1,4 3 +1
