,eeiu 100T,Boostio 100T,Cryocells 100T,Asuna 100T,bang 100T
supamen EG,0 1 -1,1 0 +1,1 2 -1,,
jawgemo EG,,,0 4 -4,,0 1 -1
Derrek EG,1 0 +1,,,,1 0 +1
NaturE EG,,1 0 +1,,1 1 +0,
Apoth EG,0 1 -1,0 1 -1,1 1 +0,0 1 -1,
