,eeiu 100T,Boostio 100T,Cryocells 100T,Asuna 100T,bang 100T
supamen EG,8 12 -4,13 6 +7,14 11 +3,11 8 +3,7 9 -2
jawgemo EG,6 13 -7,9 12 -3,6 12 -6,11 11 +0,9 9 +0
Derrek EG,16 11 +5,12 6 +6,7 10 -3,7 8 -1,7 11 -4
NaturE EG,4 10 -6,10 7 +3,9 10 -1,7 13 -6,16 11 +5
Apoth EG,7 11 -4,6 8 -2,7 13 -6,10 8 +2,4 10 -6
