,eeiu 100T,Boostio 100T,Cryocells 100T,Asuna 100T,bang 100T
supamen EG,,,,2 1 +1,
jawgemo EG,0 1 -1,0 1 -1,,2 2 +0,2 0 +2
Derrek EG,,,1 0 +1,1 1 +0,
NaturE EG,,0 1 -1,,0 2 -2,2 0 +2
Apoth EG,,,,2 0 +2,1 1 +0
