,eeiu 100T,Boostio 100T,Cryocells 100T,Asuna 100T,bang 100T
supamen EG,0 1 -1,2 0 +2,1 3 -2,2 2 +0,
jawgemo EG,0 2 -2,1 2 -1,1 5 -4,3 5 -2,4 2 +2
Derrek EG,1 0 +1,0 1 -1,1 0 +1,1 1 +0,1 0 +1
NaturE EG,,1 1 +0,,1 4 -3,3 1 +2
Apoth EG,0 1 -1,0 1 -1,1 4 -3,3 1 +2,1 1 +0
