,eeiu 100T,Boostio 100T,Cryocells 100T,Asuna 100T,bang 100T
supamen EG,,,0 2 -2,,
jawgemo EG,,1 0 +1,1 1 +0,2 0 +2,1 0 +1
Derrek EG,,,0 1 -1,,
NaturE EG,,,0 2 -2,,
Apoth EG,,,,,
