,eeiu 100T,Boostio 100T,Cryocells 100T,Asuna 100T,bang 100T
supamen EG,2 5 -3,5 3 +2,5 5 +0,2 0 +2,1 3 -2
jawgemo EG,1 3 -2,0 3 -3,1 5 -4,3 3 +0,1 5 -4
Derrek EG,5 3 +2,7 0 +7,3 4 -1,2 4 -2,3 3 +0
NaturE EG,1 3 -2,2 3 -1,2 6 -4,4 5 -1,6 1 +5
Apoth EG,0 5 -5,1 3 -2,2 5 -3,2 2 +0,1 2 -1
