,eeiu 100T,Boostio 100T,Cryocells 100T,Asuna 100T,bang 100T
supamen EG,2 5 -3,5 2 +3,4 3 +1,6 5 +1,2 1 +1
jawgemo EG,2 5 -3,6 5 +1,4 3 +1,3 4 -1,5 2 +3
Derrek EG,6 4 +2,3 3 +0,2 5 -3,1 3 -2,3 3 +0
NaturE EG,1 4 -3,2 2 +0,3 2 +1,2 5 -3,4 4 +0
Apoth EG,4 2 +2,1 4 -3,2 5 -3,4 3 +1,0 2 -2
