,eeiu 100T,Boostio 100T,Cryocells 100T,Asuna 100T,bang 100T
supamen EG,4 2 +2,3 1 +2,5 3 +2,3 3 +0,4 5 -1
jawgemo EG,3 5 -2,3 4 -1,1 4 -3,5 4 +1,3 2 +1
Derrek EG,5 4 +1,2 3 -1,2 1 +1,4 1 +3,1 5 -4
NaturE EG,2 3 -1,6 2 +4,4 2 +2,1 3 -2,6 6 +0
Apoth EG,3 4 -1,4 1 +3,3 3 +0,4 3 +1,3 6 -3
