,eeiu 100T,Boostio 100T,Cryocells 100T,Asuna 100T,bang 100T
supamen EG,,1 0 +1,0 1 -1,0 1 -1,
jawgemo EG,0 1 -1,1 1 +0,1 1 +0,1 3 -2,2 1 +1
Derrek EG,,0 1 -1,,,
NaturE EG,,,,0 1 -1,1 1 +0
Apoth EG,,,0 3 -3,1 0 +1,
