,Jinggg PRX,d4v41 PRX,mindfreak PRX,f0rsakeN PRX,something PRX
trent G2,2 0 +2,,2 1 +1,,1 1 +0
leaf G2,,,,,1 2 -1
icy G2,1 1 +0,2 0 +2,1 0 +1,,
valyn G2,,,0 1 -1,1 0 +1,0 1 -1
JonahP G2,,,,1 0 +1,2 0 +2
