,Jinggg PRX,d4v41 PRX,mindfreak PRX,f0rsakeN PRX,something PRX
trent G2,2 2 +0,0 2 -2,5 2 +3,3 2 +1,4 6 -2
leaf G2,5 3 +2,6 0 +6,3 3 +0,4 3 +1,3 5 -2
icy G2,3 6 -3,6 1 +5,3 5 -2,3 3 +0,2 0 +2
valyn G2,3 4 -1,4 1 +3,1 4 -3,4 3 +1,5 1 +4
JonahP G2,1 1 +0,2 3 -1,3 6 -3,3 3 +0,4 2 +2
