,aspas LEV,tex LEV,kiNgg LEV,C0M LEV,Mazino LEV
artzin MIBR,1 0 +1,2 0 +2,2 0 +2,1 0 +1,1 0 +1
liazzi MIBR,,,0 1 -1,,0 1 -1
mazin MIBR,1 0 +1,1 0 +1,0 1 -1,,1 0 +1
ShahZaM MIBR,1 0 +1,0 1 -1,,,1 0 +1
Pa1nt MIBR,1 2 -1,0 2 -2,1 0 +1,,
