,aspas LEV,tex LEV,kiNgg LEV,C0M LEV,Mazino LEV
artzin MIBR,2 3 -1,5 2 +3,2 5 -3,5 2 +3,2 3 -1
liazzi MIBR,2 7 -5,1 3 -2,3 2 +1,0 1 -1,2 3 -1
mazin MIBR,1 5 -4,4 0 +4,3 3 +0,2 5 -3,5 1 +4
ShahZaM MIBR,2 3 -1,2 1 +1,0 6 -6,4 4 +0,3 1 +2
Pa1nt MIBR,1 3 -2,1 3 -2,2 6 -4,2 5 -3,2 1 +1
