,nobody EDG,CHICHOO EDG,ZmjjKK EDG,S1Mon EDG,Smoggy EDG
johnqt SEN,3 2 +1,2 2 +0,3 3 +0,4 2 +2,1 4 -3
TenZ SEN,2 4 -2,2 4 -2,4 2 +2,1 4 -3,3 3 +0
zekken SEN,4 2 +2,4 4 +0,4 2 +2,3 5 -2,4 4 +0
Zellsis SEN,5 3 +2,3 3 +0,1 3 -2,3 1 +2,4 3 +1
Sacy SEN,0 4 -4,4 2 +2,4 3 +1,2 3 -1,7 3 +4
