,nobody EDG,CHICHOO EDG,ZmjjKK EDG,S1Mon EDG,Smoggy EDG
johnqt SEN,8 10 -2,6 9 -3,8 7 +1,11 5 +6,8 8 +0
TenZ SEN,12 9 +3,13 11 +2,10 11 -1,7 6 +1,13 11 +2
zekken SEN,11 7 +4,11 11 +0,16 14 +2,11 14 -3,10 6 +4
Zellsis SEN,9 12 -3,5 8 -3,3 11 -8,9 7 +2,5 7 -2
Sacy SEN,3 11 -8,9 10 -1,10 8 +2,4 7 -3,12 7 +5
