,nobody EDG,CHICHOO EDG,ZmjjKK EDG,S1Mon EDG,Smoggy EDG
johnqt SEN,3 6 -3,0 3 -3,1 2 -1,1 1 +0,4 1 +3
TenZ SEN,5 3 +2,4 4 +0,4 4 +0,4 0 +4,4 6 -2
zekken SEN,3 2 +1,4 6 -2,5 6 -1,3 3 +0,2 0 +2
Zellsis SEN,1 5 -4,1 4 -3,1 2 -1,4 2 +2,1 2 -1
Sacy SEN,1 4 -3,1 6 -5,3 1 +2,1 1 +0,1 3 -2
