,nobody EDG,CHICHOO EDG,ZmjjKK EDG,S1Mon EDG,Smoggy EDG
johnqt SEN,1 2 -1,0 2 -2,0 3 -3,,2 0 +2
TenZ SEN,,1 2 -1,2 1 +1,0 1 -1,
zekken SEN,2 1 +1,2 2 +0,9 3 +6,2 4 -2,1 1 +0
Zellsis SEN,1 2 -1,1 1 +0,1 5 -4,,1 0 +1
Sacy SEN,1 0 +1,,2 2 +0,0 1 -1,0 1 -1
