,nobody EDG,CHICHOO EDG,ZmjjKK EDG,S1Mon EDG,Smoggy EDG
johnqt SEN,,0 2 -2,,,
TenZ SEN,,1 0 +1,,,
zekken SEN,1 0 +1,2 0 +2,5 0 +5,0 1 -1,1 0 +1
Zellsis SEN,0 1 -1,1 0 +1,0 3 -3,,
Sacy SEN,1 0 +1,,1 2 -1,,
