,nobody EDG,CHICHOO EDG,ZmjjKK EDG,S1Mon EDG,Smoggy EDG
johnqt SEN,1 0 +1,,0 3 -3,,
TenZ SEN,,0 1 -1,1 1 +0,0 1 -1,
zekken SEN,1 1 +0,,3 0 +3,0 2 -2,0 1 -1
Zellsis SEN,1 0 +1,,1 2 -1,,
Sacy SEN,,,1 0 +1,0 1 -1,
