,nobody EDG,CHICHOO EDG,ZmjjKK EDG,S1Mon EDG,Smoggy EDG
johnqt SEN,2 2 +0,4 4 +0,4 2 +2,6 2 +4,3 3 +0
TenZ SEN,5 2 +3,7 3 +4,2 5 -3,2 2 +0,6 2 +4
zekken SEN,4 3 +1,3 1 +2,7 6 +1,5 6 -1,4 2 +2
Zellsis SEN,3 4 -1,1 1 +0,1 6 -5,2 4 -2,0 2 -2
Sacy SEN,2 3 -1,4 2 +2,3 4 -1,1 3 -2,4 1 +3
