,nobody EDG,CHICHOO EDG,ZmjjKK EDG,S1Mon EDG,Smoggy EDG
johnqt SEN,0 2 -2,,,,2 0 +2
TenZ SEN,,0 1 -1,1 0 +1,,
zekken SEN,,0 2 -2,1 3 -2,2 1 +1,
Zellsis SEN,0 1 -1,0 1 -1,,,1 0 +1
Sacy SEN,,,,,0 1 -1
