,brawk NRG,Ethan NRG,s0m NRG,mada NRG,skuba NRG
HYUNMIN DRX,5 1 +4,4 1 +3,2 3 -1,5 3 +2,2 4 -2
free1ng DRX,,1 1 +0,6 0 +6,3 4 -1,4 2 +2
BeYN DRX,6 1 +5,1 1 +0,2 2 +0,1 4 -3,2 3 -1
Flashback DRX,0 2 -2,4 2 +2,2 2 +0,5 1 +4,4 4 +0
MaKo DRX,1 2 -1,3 1 +2,1 1 +0,1 2 -1,1 2 -1
