,brawk NRG,Ethan NRG,s0m NRG,mada NRG,skuba NRG
HYUNMIN DRX,1 4 -3,4 2 +2,5 1 +4,3 6 -3,4 3 +1
free1ng DRX,3 3 +0,1 2 -1,2 5 -3,4 2 +2,3 4 -1
BeYN DRX,3 2 +1,3 0 +3,5 4 +1,3 6 -3,2 5 -3
Flashback DRX,5 3 +2,7 4 +3,5 2 +3,5 5 +0,4 3 +1
MaKo DRX,3 1 +2,3 2 +1,0 6 -6,2 3 -1,3 3 +0
