,brawk NRG,Ethan NRG,s0m NRG,mada NRG,skuba NRG
HYUNMIN DRX,,,,,
free1ng DRX,,,,0 2 -2,
BeYN DRX,1 0 +1,,0 1 -1,0 1 -1,
Flashback DRX,,2 0 +2,,1 1 +0,
MaKo DRX,1 1 +0,,,,
