,brawk NRG,Ethan NRG,s0m NRG,mada NRG,skuba NRG
HYUNMIN DRX,9 12 -3,9 6 +3,14 7 +7,11 11 +0,11 9 +2
free1ng DRX,4 8 -4,3 6 -3,9 9 +0,10 11 -1,9 7 +2
BeYN DRX,16 7 +9,8 3 +5,10 10 +0,7 15 -8,8 8 +0
Flashback DRX,7 8 -1,18 10 +8,12 7 +5,20 10 +10,9 12 -3
MaKo DRX,6 12 -6,6 5 +1,2 8 -6,6 8 -2,6 7 -1
