,brawk NRG,Ethan NRG,s0m NRG,mada NRG,skuba NRG
HYUNMIN DRX,,,,0 2 -2,
free1ng DRX,,,,,
BeYN DRX,,,,0 2 -2,
Flashback DRX,,1 0 +1,,1 1 +0,
MaKo DRX,,,,,
