,brawk NRG,Ethan NRG,s0m NRG,mada NRG,skuba NRG
HYUNMIN DRX,,,,0 2 -2,
free1ng DRX,,,,0 2 -2,
BeYN DRX,1 0 +1,,0 1 -1,0 3 -3,
Flashback DRX,,3 0 +3,,2 2 +0,
MaKo DRX,1 1 +0,,,,
