,brawk NRG,Ethan NRG,s0m NRG,mada NRG,skuba NRG
HYUNMIN DRX,,1 1 +0,,3 0 +3,1 0 +1
free1ng DRX,,,,1 1 +0,
BeYN DRX,,,,0 1 -1,
Flashback DRX,0 2 -2,,1 0 +1,2 1 +1,0 1 -1
MaKo DRX,,0 1 -1,,,
